"mention_name","mention_type","mention_popularity","mention_address","zip_code","mention_longitude","mention_latitude","no_of_blogFiles","mention_found_in_blogFiles"
"shadow valley","residential","1","""Shadow Valley, Indian Springs, San Diego County, California, 91935, United States of America""","91935","-116.8991469","32.704666","1","san diego_and_temecula.json"
"shadowbrook","residential","2","""Shadowbrook, Shadow Ridge, Roseville, Placer County, California, 95678, United States of America""","95678","-121.2677998","38.7532834","5","""avalon_and_santa cruz.json,carlsbad_and_santa cruz.json,irvine_and_santa cruz.json,long beach_and_santa cruz.json,riverside_and_santa cruz.json"""
"shady canyon drive","residential","3","""Shady Canyon Drive, Turtle Rock, Irvine, Orange County, California, 92603, United States of America""","92603","-117.7843265","33.6503665","5","""big bear lake_and_santa clarita.json,long beach_and_riverside.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,newport beach_and_riverside.json"""
"shady canyon trail","footway","2","""Shady Canyon Trail, Alameda County, California, 94522, United States of America""","94522","-122.0296973","37.6842077","3","""mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"""
"shady rest park","park","2","""Shady Rest Park, Sawmill Road, Mammoth Lakes, Mono County, California, 93546, United States of America""","93546","-118.9554122","37.6541013","3","""mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"""
"shaffer mountain","peak","1","""Shaffer Mountain, Lassen County, California, United States of America""","","-120.3571631","40.4468438","6","""mammoth lakes_and_pasadena.json,mammoth lakes_and_riverside.json,mammoth lakes_and_sacramento.json,mammoth lakes_and_san bernardino.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_temecula.json"""
"shaffer road","tertiary","2","""Shaffer Road, Westside, Santa Cruz, Santa Cruz County, California, 95060, United States of America""","95060","-122.0621835","36.9612912","2","""fremont_and_santa cruz.json,san jose_and_santa cruz.json"""
"shain park","ditch","1","""Shain Drain, Merced County, California, United States of America""","","-120.648769","36.9675219","2","""avalon_and_oakland.json,beverly hills_and_oakland.json"""
"shaker heights","residential","1","""Shaker Heights Way, Modesto, Stanislaus County, California, 95358, United States of America""","95358","-120.9972409","37.596091","1","fresno_and_san jose.json"
"shamrock avenue","residential","1","""Shamrock Avenue, Riverside, Riverside County, California, 92501, United States of America""","92501","-117.3682239","33.9999686","11","""anaheim_and_san bernardino.json,bakersfield_and_beverly hills.json,beverly hills_and_san bernardino.json,los angeles_and_san bernardino.json,pasadena_and_san diego.json,pasadena_and_san francisco.json,san bernardino_and_san diego.json,san bernardino_and_san francisco.json,san bernardino_and_santa monica.json,san diego_and_santa monica.json,pasadena_and_san bernardino.json"""
"shandon","village","1","""Shandon, San Luis Obispo County, California, United States of America""","","-120.3754324","35.6552465","1","monterey_and_san luis obispo.json"
"shanghai","yes","6","""Shanghai, Jackson Street, Hensley Historic District, Japantown, San Jos��, Santa Clara County, California, 95112, United States of America""","95112","-121.894015266141","37.34935045","11","""anaheim_and_san francisco.json,beverly hills_and_sausalito.json,long beach_and_oakland.json,long beach_and_sausalito.json,monterey_and_stockton.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san bernardino_and_sausalito.json,san francisco_and_temecula.json,sacramento_and_san francisco.json,san jose_and_temecula.json"""
"shark/little harbor","bay","1","""Shark Harbor, Middle Ranch Road, El Rancho Escondido, Los Angeles County, California, United States of America""","","-118.4747324","33.3831147","1","avalon_and_santa clarita.json"
"sharktooth hill","stream","1","""Sharktooth Creek, Fresno County, California, United States of America""","","-119.0249924","37.5043392","1","bakersfield_and_fresno.json"
"sharon meadow","park","1","""Sharon Meadow, Bowling Green Drive, Cole Valley, SF, California, 94118-4504, United States of America""","94118","-122.45796685151","37.7693726","3","""berkeley_and_san francisco.json,oakland_and_san francisco.json,sacramento_and_san francisco.json"""
"sharp park road","secondary","1","""Sharp Park Road, San Bruno, San Mateo County, California, 94044, United States of America""","94044","-122.4666153","37.637371","2","""monterey_and_pasadena.json,malibu_and_monterey.json"""
"shasta","administrative","1","""Shasta County, California, United States of America""","","-121.9979193","40.7965121","3","""avalon_and_oakland.json,big bear lake_and_oakland.json,san diego_and_san jose.json"""
"shasta country","residential","1","""Shasta Lane, Indian Wells Country Club, Indian Wells, Riverside County, California, 92210, United States of America""","92210","-116.318828","33.7193126","4","""bakersfield_and_san bernardino.json,bakersfield_and_fremont.json,bakersfield_and_san diego.json,sacramento_and_san bernardino.json"""
"shasta county","administrative","1","""Shasta County, California, United States of America""","","-121.9979193","40.7965121","1","riverside_and_sacramento.json"
"shattuck ave.","secondary","3","""Shattuck Avenue, Downtown Berkeley, Berkeley, Alameda County, California, 94609, United States of America""","94609","-122.2684811","37.8729527","2","""berkeley_and_oakland.json,berkeley_and_san francisco.json"""
"shattuck square","retail","2","""Shattuck Square, Berkeley, Alameda County, California, 94704, United States of America""","94704","-122.268062355617","37.87168125","6","""berkeley_and_san jose.json,berkeley_and_los angeles.json,berkeley_and_oakland.json,berkeley_and_sacramento.json,berkeley_and_san francisco.json,berkeley_and_fremont.json"""
